RouteDataID,Route,RouteName,RouteTypeID,RouteTypeDetailID,Active,AOU,CountryNum,StateNum,RPID,Stratum,BCR,Month,Day,Year,StartTime,EndTime,Count10,Count20,Count30,Count40,Count50,StopTotal,SpeciesTotal,RecordedCar,TotalCarObs,NoiseDetected,Seq,English_Common_Name,French_Common_Name,Order,Family,Genus,Species,scientific_name,State_Trend,BCR_trend,NearestStation,DATE_YYYYMMDD,PRCP,TMAX,TMIN,geometry,
6165804,237,CARLOS,1,1,1,4230,840,83,101,8,21,5,29,2003,610,1106,0,0,1,0,0,1,1,1,201,1,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,Decreasing,Decreasing,US1TXBZS117,20030529,NA,NA,NA,c(-96.1971289, 30.5287787)
6165807,238,LEANDER,1,1,0,4200,840,83,101,53,20,5,24,2003,557,1015,3,0,0,1,0,3,4,1,142,0,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Decreasing,US1TXWM0270,20030524,NA,NA,NA,c(-97.8400639, 30.5177317)
6165807,238,LEANDER,1,1,0,4230,840,83,101,53,20,5,24,2003,557,1015,0,2,4,4,0,4,10,1,142,0,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,Decreasing,Decreasing,US1TXWM0270,20030524,NA,NA,NA,c(-97.8400639, 30.5177317)
6165810,340,WALL,1,1,1,4200,840,83,101,54,19,6,9,2003,610,1145,19,0,0,0,0,5,19,1,27,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Increasing,US1TXTG0009,20030609,NA,NA,NA,c(-100.2958909, 31.3901587)
6165812,350,WILLS POINT,1,1,1,4200,840,83,101,8,21,6,8,2003,548,1024,3,0,0,0,0,2,3,1,16,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Decreasing,US1TXVZ0028,20030608,NA,NA,NA,c(-96.0240475, 32.7789408)
6165812,350,WILLS POINT,1,1,1,4230,840,83,101,8,21,6,8,2003,548,1024,0,0,3,2,0,3,5,1,16,1,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,Decreasing,Decreasing,US1TXVZ0028,20030608,NA,NA,NA,c(-96.0240475, 32.7789408)
6165813,351,CLEBURNE,1,1,1,4230,840,83,101,8,21,6,19,2003,552,1018,1,0,0,1,0,2,2,1,52,0,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,Decreasing,Decreasing,US1TXJN0025,20030619,NA,NA,NA,c(-97.4981958, 32.3141319)
6165813,351,CLEBURNE,1,1,1,4200,840,83,101,8,21,6,19,2003,552,1018,8,1,1,0,0,8,10,1,52,0,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Decreasing,US1TXJN0025,20030619,NA,NA,NA,c(-97.4981958, 32.3141319)
6165816,352,WHIT MTN.,1,1,1,4200,840,83,101,33,21,6,30,2003,556,1015,2,3,0,1,0,5,6,1,125,0,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Decreasing,USC00414979,20030630,0,33.3,20,c(-98.3699292, 32.6265908)
6165824,179,HASKELL,1,1,1,4200,840,83,101,54,19,6,22,2003,604,1052,4,0,3,1,7,13,15,1,16,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Increasing,USC00416148,20030622,NA,NA,NA,c(-99.6563415, 33.3645608)
6165824,179,HASKELL,1,1,1,4230,840,83,101,54,19,6,22,2003,604,1052,1,0,0,0,0,1,1,1,16,1,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,Decreasing,Decreasing,USC00416148,20030622,NA,NA,NA,c(-99.6563415, 33.3645608)
6165829,214,FANNIN,1,1,1,4200,840,83,101,6,21,5,25,2003,558,1023,0,0,2,0,0,1,2,1,24,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Decreasing,US1TXGD0019,20030525,NA,NA,NA,c(-97.2202749, 28.781686)
6165829,214,FANNIN,1,1,1,4230,840,83,101,6,21,5,25,2003,558,1023,0,4,0,0,0,1,4,1,24,1,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,Decreasing,Decreasing,US1TXGD0019,20030525,NA,NA,NA,c(-97.2202749, 28.781686)
6165833,301,PROGRESO,1,1,0,4200,840,83,101,7,36,5,20,2003,615,1130,14,2,4,5,1,15,26,1,112,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Decreasing,US1TXHDL054,20030520,NA,NA,NA,c(-97.9422829, 26.1561647)
6165837,311,PORT ACRES,1,1,1,4230,840,83,101,6,37,6,1,2003,548,1003,4,2,3,0,0,7,9,1,90,1,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,Decreasing,Decreasing,USW00012917,20030601,0,33.3,21.1,c(-94.0432501, 29.9141577)
6165837,311,PORT ACRES,1,1,1,4200,840,83,101,6,37,6,1,2003,548,1003,4,1,0,0,1,5,6,1,90,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Decreasing,USW00012917,20030601,0,33.3,21.1,c(-94.0432501, 29.9141577)
