"scientific_name","StateNum","slope","lower_CI","upper_CI","Adj_R2","Trend"
"Accipiter atricapillus",83,NA,NA,NA,NA,NA
"Accipiter cooperii",83,0.00278164116828921,-0.0156612962754348,0.0212245786120133,-0.0390804092200963,"Stable"
"Accipiter striatus",83,0.0319812792511692,0.00203389352825704,0.0619286649740813,0.325966371988204,"Stable"
"Actitis macularius",83,NA,NA,NA,NA,NA
"Aechmophorus clarkii",83,NA,NA,NA,NA,NA
"Aechmophorus occidentalis",83,NA,NA,NA,NA,NA
"Aeronautes saxatalis",83,-0.654734219269108,-1.59934141137808,0.28987297283986,0.0688264054734762,"Stable"
"Agelaius phoeniceus",83,-1.67258323305256,-2.26821860142611,-1.076947864679,0.565885905190829,"Decreasing"
"Aimophila ruficeps",83,-0.108202968311272,-0.163612551078786,-0.052793385543758,0.378784942408031,"Decreasing"
"Aix sponsa",83,-0.0108804653028481,-0.0381627572710572,0.0164018266653609,-0.0130685444438221,"Stable"
"Amazilia yucatanensis",83,-0.294625719769679,-0.497037754089654,-0.0922136854497046,0.333892778508866,"Decreasing"
"Amazona viridigenalis",83,NA,NA,NA,NA,NA
"Ammodramus savannarum",83,0.104442438828722,-0.0346012015619401,0.243486079219384,0.0531527197002392,"Stable"
"Ammospiza maritima",83,-0.154760988376572,-0.29080758504043,-0.0187143917127151,0.189261422009718,"Decreasing"
"Amphispiza bilineata",83,-0.332079823505814,-0.564319100791302,-0.099840546220327,0.235694697220413,"Decreasing"
"Anas acuta",83,0.0534759358288772,-0.0777522887334019,0.184704160391156,-0.0151515151515156,"Stable"
"Anas crecca",83,0.073415155950902,-0.176678421080434,0.323508732982238,-0.0476201296005632,"Stable"
"Anas diazi",83,-0.0273817455030012,-0.174371809037983,0.119608318031981,-0.0401853797262308,"Stable"
"Anas fulvigula",83,-0.157691536301646,-0.321305305859543,0.00592223325625152,0.105765994122395,"Stable"
"Anas platyrhynchos",83,-0.161351784997996,-0.324276314224073,0.00157274422808151,0.112777830562164,"Stable"
"Anhinga anhinga",83,-0.0288808664259929,-0.0617450347780765,0.00398330192609065,0.0839023177941717,"Stable"
"Antigone canadensis",83,NA,NA,NA,NA,NA
"Antrostomus arizonae",83,NA,NA,NA,NA,NA
